p1,p2,exp
g0495,ctrl,1.34997421027305
g0261,g0760,1.58380651348254
g0232,ctrl,0.0043854689373684
g0083,g0599,0.0
g0461,ctrl,0.755380884723184
g0160,g0495,0.607051927812706
g0276,ctrl,0.491566584922972
g0147,g0241,0.0
g0200,g0605,0.0098196892024631
g0761,g0157,0.993327071859235
g0013,g0495,0.002625528125232
g0101,ctrl,0.68746189346929
g0422,g0013,0.0
g0927,g0805,0.706812806880002
g0873,ctrl,0.0
g0157,ctrl,0.0062817791663499
g0083,ctrl,0.370263976528235
g0200,ctrl,0.905583736887669
g0564,ctrl,1.12690600801844
g0400,ctrl,0.904781494937713
g0698,g0207,0.993034326808822
g0744,ctrl,0.0
g0232,ctrl,1.2145055439908
g0924,g0034,0.0
g0707,g0157,0.385601807201564
g0262,ctrl,0.0
g0534,ctrl,0.966361772579893
g0638,ctrl,0.0
g0491,ctrl,0.929543816731304
g0261,g0013,0.676920222232402
g0844,g0957,1.24450083518438
g0965,g0655,1.03703696435326
g0974,g0160,0.622672960800173
g0852,ctrl,0.0
g0852,ctrl,0.415817653110011
g0256,ctrl,0.855997721018763
g0787,g0317,0.791607868313067
g0534,g0612,0.638336736499195
g0022,ctrl,0.0
g0160,g0495,0.570003299517325
g0013,ctrl,0.0
g0534,g0612,0.622486138054818
g0109,ctrl,0.674940061938077
g0379,ctrl,1.41717470684808
g0301,g0139,1.0416394158521
g0301,g0612,0.474053359790522
g0301,ctrl,0.0
g0844,ctrl,0.0004045178391101
g0301,ctrl,1.10845038480944
g0422,g0139,0.0054651802425886
g0013,ctrl,0.887909644535659
g0186,g0228,0.871950278254042
g0422,g0612,0.456421829519294
g0510,ctrl,0.0
g0195,ctrl,0.0037683015917197
g0927,g0805,0.0
g0109,g0787,0.592341921687351
g0852,ctrl,0.891143663778543
g0147,ctrl,0.0032551230287092
g0698,g0697,0.0
g0787,g0655,0.873526093751881
g0301,g0751,0.558975228034234
g0200,g0605,0.0186594021545338
g0612,ctrl,0.6398985840629
g0317,g0655,0.607007605515179
g0186,g0868,0.458020187538024
g0698,g0062,0.0153649266812475
g0844,ctrl,0.492283900941267
g0671,ctrl,0.570166590090681
g0083,g0633,0.57954356298174
g0787,g0655,0.536914587904145
g0256,ctrl,0.516278108493925
g0698,g0207,0.0
g0927,g0495,0.965756016798195
g0301,g0139,0.0091627257231193
g0564,ctrl,0.0022703325826055
g0200,ctrl,1.54517071965921
g0301,g0751,0.0140625248097547
g0698,g0207,0.852201579993031
g0186,g0868,0.0107932073364955
g0417,ctrl,0.621140772543796
g0965,g0655,0.561158935634406
g0534,g0612,0.855838696325417
g0285,ctrl,0.820079907080023
g0109,ctrl,0.0073761954132677
g0262,ctrl,0.0035006914003447
g0805,g0780,0.501780694679025
g0085,ctrl,0.0056783563936361
g0232,ctrl,0.978594685501411
g0147,ctrl,1.04839362125155
g0241,ctrl,0.434386163852963
g0147,g0241,0.0
g0698,g0207,0.800557138349051
g0200,ctrl,0.0
g0083,g0633,0.0
g0262,ctrl,0.668219416695547
g0698,g0207,0.742049282281006
g0681,ctrl,0.0
g0256,ctrl,0.524759978311631
g0371,ctrl,0.45590666939751
g0784,ctrl,0.952377008592707
g0691,g0631,0.820826369023407
g0787,ctrl,0.0
g0805,g0013,0.004918676566764
g0034,ctrl,0.822446196225696
g0379,ctrl,0.701912165536297
g0285,ctrl,0.733996597206329
g0261,g0160,1.0682654904936
g0922,g0061,0.441302552393448
g0195,ctrl,0.875001529744541
g0564,ctrl,0.0072341413936797
g0520,g0257,0.479867531967868
g0696,ctrl,1.024776274803
g0422,ctrl,1.08946601111453
g0927,g0805,0.850509128696501
g0022,g0228,0.0
g0552,ctrl,0.888734887215766
g0417,ctrl,0.683123618949249
g0261,ctrl,0.0
g0564,ctrl,0.670015082648763
g0773,g0379,0.0
g0761,g0707,0.0041493912052291
g0160,g0241,1.23357890809694
g0109,ctrl,0.0171581558642155
g0379,ctrl,1.00992745828183
g0186,g0216,0.964894095271468
g0301,g0744,1.04403589251671
g0761,g0157,0.600867997023632
g0884,ctrl,0.86725722045757
g0744,ctrl,0.0
g0612,ctrl,0.0159842708343236
g0261,ctrl,0.826599783153074
g0638,ctrl,0.719129376364016
g0880,ctrl,0.944532862206253
g0681,g0751,0.678947518371082
g0147,g0160,1.09022748055497
g0844,g0957,0.0
g0927,g0780,0.580012273173831
g0751,ctrl,0.0
g0957,ctrl,0.406314602569223
g0510,ctrl,0.0
g0276,ctrl,0.564057443372272
g0965,ctrl,0.0123017725195858
g0761,g0157,0.0008592758912729
g0417,ctrl,0.556613366225277
g0835,ctrl,1.18811917806492
g0422,g0139,0.0127468675850673
g0927,g0852,0.0110863612229988
g0696,ctrl,0.526873662145529
g0345,ctrl,0.641701051729974
g0520,g0257,0.363993060778184
g0200,ctrl,0.0156328384814943
g0927,ctrl,0.561420279362886
g0852,g0422,0.0005154429575549
g0927,g0805,0.008716965747313
g0345,g0552,0.574397785940143
g0022,g0228,0.976141009769238
g0186,g0228,0.691070702081155
g0852,g0034,0.0012149514183676
g0136,ctrl,0.0159524185118063
g0022,g0228,1.71074510253817
g0013,g0495,0.410001384422062
g0957,ctrl,0.004215344782574
g0037,g0186,0.664917101491857
g0805,g0780,0.0287223266202376
g0062,ctrl,1.21134130564288
g0922,g0061,1.57513099174102
g0671,g0784,0.617099941537583
g0200,g0605,0.0122248259101196
g0520,ctrl,0.52668174166054
g0520,g0257,0.0
g0698,ctrl,0.0331388988974155
g0691,g0631,0.0114847476992069
g0691,ctrl,0.0151522352165037
g0852,ctrl,1.15831058495427
g0698,g0207,1.21607275998627
g0927,g0780,0.0
g0974,g0160,1.142580384294
g0773,g0379,0.0
g0974,g0160,1.17296330639928
g0631,ctrl,0.629749994153699
g0304,ctrl,0.661416686682126
g0974,g0160,1.07288982954587
g0301,g0612,0.904812294246558
g0422,g0139,0.0058423384276294
g0085,ctrl,1.23357451242916
g0852,ctrl,0.568524122818971
g0787,ctrl,0.0
g0698,g0697,1.28335378172143
g0843,ctrl,0.742276832924438
g0261,ctrl,0.0089842925647781
g0040,ctrl,0.0121358728208358
g0843,ctrl,0.806032205929449
g0844,g0957,0.575176154331631
g0037,ctrl,0.0
g0085,ctrl,0.748236130787279
g0136,ctrl,0.0
g0228,g0827,0.0
g0013,g0139,0.000300070018061
g0228,g0827,0.891533628627419
g0422,g0301,0.983789688593042
g0261,g0760,1.44887196980185
g0827,ctrl,1.15872631992041
g0805,ctrl,0.0
g0773,g0261,0.68073721162072
g0262,ctrl,0.0
g0534,ctrl,0.547035514988775
g0520,g0257,0.311275337253651
g0835,ctrl,1.03740892462848
g0422,g0013,0.01502338983356
g0927,g0827,0.0031365699252889
g0805,ctrl,1.19174135217358
g0147,g0160,0.0
g0136,ctrl,0.541854641414194
g0084,ctrl,0.517581706571196
g0422,g0301,0.0
g0062,ctrl,0.0029645992680996
g0040,ctrl,0.0217701692539883
g0229,ctrl,0.0088275845004264
g0186,ctrl,0.496728773062015
g0868,ctrl,0.656049071083959
g0404,ctrl,0.696573359690924
g0989,ctrl,0.0187346860259985
g0422,g0301,0.694213798812335
g0422,g0612,0.0181186471699339
g0317,ctrl,0.0
g0787,g0317,0.706799843441779
g0216,ctrl,0.0043081187981281
g0805,g0013,0.0004300023726227
g0040,ctrl,0.0
g0671,ctrl,0.015338781225353
g0079,ctrl,0.0
g0681,ctrl,0.823769122813247
g0852,ctrl,0.0201242732949259
g0261,g0760,0.501347691102061
g0633,ctrl,0.0
g0552,ctrl,0.0
g0422,g0013,0.795483276479326
g0257,ctrl,0.0057663550906432
g0784,ctrl,0.468972490447907
g0022,g0228,0.0196977565154598
g0087,ctrl,0.0097830688030866
g0084,ctrl,0.605018518690842
g0880,g0744,0.0052990894387128
g0698,g0062,0.0
g0780,ctrl,0.785705305701983
g0147,ctrl,0.0
g0599,ctrl,1.66486737326692
g0631,ctrl,0.0186703990266623
g0022,ctrl,0.611176165608089
g0461,ctrl,0.654854727030201
g0927,g0495,0.567454029256638
g0061,ctrl,0.816583138854506
g0109,g0787,0.0
g0631,ctrl,0.573178309684099
g0062,ctrl,0.0
g0979,ctrl,1.11451886618183
g0780,ctrl,0.0005410705913052
g0927,g0852,1.21463067911604
g0605,ctrl,0.645479738057889
g0697,ctrl,0.747136591423194
g0681,g0751,0.883618876843019
g0301,g0139,0.513002668605696
g0787,g0655,0.0155745658092119
g0087,ctrl,0.0
g0109,ctrl,0.0195108024652774
g0787,g0317,0.623138394270133
g0691,g0631,0.0065741052420448
g0458,ctrl,0.0
g0345,g0552,0.439209042664955
g0924,g0034,4.68065820774791e-05
g0698,g0062,0.880377964305066
g0805,g0062,1.05422133796328
g0924,ctrl,0.0203101121097347
g0422,g0612,0.000160702965121
g0195,ctrl,0.0
g0422,ctrl,0.794473976596161
g0022,g0228,0.0
g0707,g0157,1.50115346848835
g0510,ctrl,0.0
g0843,ctrl,0.788639212873975
g0691,g0631,0.456109418459359
g0147,ctrl,0.0
g0844,ctrl,0.0
g0534,ctrl,0.0091539747977826
g0109,ctrl,0.0013235257899371
g0681,ctrl,0.628292966403938
g0534,ctrl,0.742157817927732
g0200,g0605,1.06967834149326
g0304,ctrl,0.530906427037485
g0379,ctrl,0.0
g0371,ctrl,0.0
g0022,g0228,1.21088633624707
g0843,ctrl,0.637542648055086
g0495,ctrl,0.010750925751849
g0805,g0013,0.0007439846307613
g0698,g0062,0.945139352428507
g0698,ctrl,0.648967057132493
g0160,g0495,0.811748556611705
g0631,ctrl,0.0239876134482892
g0095,ctrl,1.13838057083326
g0691,g0631,0.516180265630243
g0974,ctrl,0.0182637109934169
g0216,ctrl,1.00358745467618
g0787,g0965,1.04092403621331
g0974,ctrl,0.0227061848829427
g0076,ctrl,1.12970253476589
g0761,g0157,0.68355072250663
g0868,ctrl,1.18505830273946
g0681,g0751,0.0096209174792303
g0186,ctrl,0.0031009927466825
g0761,g0157,0.0
g0761,g0157,0.0089739034052656
g0638,ctrl,0.47969892326042
g0207,ctrl,0.941549278032334
g0880,g0957,0.0
g0633,ctrl,0.385164871744403
g0261,g0013,0.582556989822605
g0404,ctrl,0.759690817207227
g0422,g0139,0.587476031496235
g0698,g0062,1.19937432515083
g0805,g0062,0.949093106624698
g0965,ctrl,0.63166388907678
g0101,ctrl,0.0175983580720222
g0681,g0160,0.0
g0040,ctrl,0.0065884188359257
g0304,ctrl,0.0
g0228,ctrl,0.0
g0345,ctrl,0.347540955118979
g0984,ctrl,0.0
g0076,ctrl,1.00250529684655
g0773,g0379,0.0020017539935375
g0207,ctrl,0.0
g0927,g0780,0.0
g0495,ctrl,0.721802991969717
g0016,ctrl,0.0028610841369371
g0915,ctrl,0.91209187231142
g0691,g0631,1.19395882591726
g0773,g0261,0.0067009882564673
g0599,ctrl,0.0074756790425971
g0915,ctrl,1.08114965776791
g0422,g0301,0.776053557439527
g0083,g0633,0.0
g0200,g0605,0.762139045918633
g0880,ctrl,0.707629941166064
g0612,ctrl,0.695911982374298
g0534,g0228,0.498591764728275
g0022,g0784,0.36995890698304
g0599,ctrl,0.588297984893482
g0087,ctrl,0.423638336535397
g0037,g0186,0.450763768450201
g0924,ctrl,0.0
g0974,g0160,0.753903409041707
g0979,ctrl,0.0051631705456785
g0147,g0160,0.0
g0612,ctrl,0.0091909724944424
g0599,ctrl,1.7465093877748
g0304,ctrl,0.537324238223148
g0207,ctrl,0.0130427881129867
g0186,g0868,0.0
g0216,ctrl,0.731510954165322
g0317,ctrl,0.0
g0989,ctrl,0.0
g0655,ctrl,0.0
g0228,g0780,0.0
g0261,g0160,0.0
g0927,ctrl,0.721403798998496
g0852,g0422,0.0158120578946398
g0884,ctrl,0.0108629517039315
g0698,g0062,0.00273676408484
g0707,ctrl,0.0060736930582621
g0147,g0160,0.0
g0761,g0707,0.0
g0671,ctrl,1.33445759425155
g0922,g0061,1.17939533807628
g0843,ctrl,0.645261038104775
g0232,ctrl,0.572214857225422
g0195,ctrl,0.0
g0927,g0827,0.0
g0534,ctrl,0.0053076613074828
g0520,ctrl,0.676380575000857
g0534,g0612,0.572886476355652
g0784,ctrl,1.01043482733202
g0147,g0241,0.0
g0083,g0599,0.351931947175673
g0965,ctrl,0.0
g0466,ctrl,0.835010249456096
g0698,g0697,1.39757321863166
g0924,ctrl,0.687618558776786
g0458,ctrl,0.0004769848080923
g0534,g0228,0.398918084911971
g0534,g0612,0.0111727719713828
g0787,ctrl,0.828171773687846
g0261,ctrl,0.863628767472212
g0458,ctrl,0.0
g0491,ctrl,0.0198631027688595
g0186,ctrl,0.88276879612199
g0974,g0040,0.0
g0139,ctrl,0.542358643189851
g0022,ctrl,0.0017344038398268
g0843,ctrl,0.880751140242729
g0147,ctrl,0.0
g0422,g0013,0.983650375729739
g0805,g0013,1.26537957523437
g0061,ctrl,0.578339557790701
g0612,ctrl,0.794584545367293
g0534,g0612,0.905394254042485
g0083,g0599,0.59954752833093
g0655,ctrl,1.18963066105951
g0256,ctrl,0.0130106181934464
g0564,ctrl,0.0135692570576247
g0805,g0780,0.522380724626443
g0136,ctrl,0.006721190981995
g0681,g0160,0.406444505579775
g0061,ctrl,0.0
g0843,ctrl,0.779131025418185
g0317,ctrl,0.840227023167612
g0880,ctrl,1.19931103783439
g0805,g0062,0.856467440015849
g0013,g0495,0.0
g0304,ctrl,0.0093465298142045
g0989,ctrl,0.570010633954
g0773,g0379,0.549316634161196
g0261,g0160,1.36273475091586
g0232,ctrl,0.47623623416882
g0805,g0062,0.59879898701743
g0520,ctrl,0.591156141305052
g0691,ctrl,0.431891869372888
g0241,ctrl,1.05663588794653
g0200,ctrl,0.0017680339317568
g0195,ctrl,1.58299098983871
g0301,g0612,1.11201095516551
g0698,g0062,0.591944301370344
g0160,ctrl,0.469636874720814
g0417,ctrl,0.0199286235089969
g0084,ctrl,0.891526110159329
g0868,ctrl,0.0
g0216,ctrl,0.674413767132809
g0109,g0787,0.0030140265676918
g0317,ctrl,0.631079599746874
g0261,g0013,0.894090616281822
g0751,ctrl,0.895930167687248
g0076,ctrl,0.0
g0844,g0957,1.08254434829098
g0835,ctrl,0.0033842744079351
g0681,g0301,0.328486830357726
g0965,ctrl,0.0013396298927193
g0157,ctrl,0.0
g0422,ctrl,0.969503808174515
g0109,ctrl,0.721857583013603
g0898,ctrl,0.835353155501459
g0147,ctrl,0.017072367281851
g0844,g0957,0.86146303276551
g0076,ctrl,0.0
g0852,g0422,0.897441065588588
g0228,g0827,1.17068978628503
g0241,ctrl,1.11350353593595
g0880,g0957,0.542241750516961
g0697,ctrl,0.902055643593935
g0422,ctrl,0.0016831999232565
g0186,ctrl,0.471634844371629
g0261,g0186,1.06043969022806
g0422,g0751,0.603442905614981
g0160,ctrl,0.0068347503873083
g0805,g0013,0.0
g0927,g0780,0.0054178093119433
g0345,g0552,1.17080977623072
g0761,g0157,0.0
g0422,g0301,0.0044191481688879
g0922,g0061,0.0134006566228367
g0927,g0852,0.0056029292045093
g0698,g0697,0.0044060416328689
g0884,ctrl,0.0
g0301,g0612,0.396735936641731
g0599,ctrl,0.423273246383561
g0805,g0013,1.53336791472451
g0186,g0216,0.56876248363774
g0681,g0751,0.844800957415292
g0510,ctrl,0.855241599003315
g0466,ctrl,0.584401750564493
g0880,g0957,0.0
g0880,g0957,1.19572560862831
g0698,g0207,1.04167767269227
g0085,ctrl,0.0023995802020745
g0671,g0784,0.50380928104294
g0079,ctrl,0.0050440037416251
g0510,ctrl,1.29773345160016e-05
g0257,ctrl,0.341108275621745
g0022,g0228,0.446942254730684
g0261,g0760,0.640128864824651
g0084,ctrl,0.0
g0691,ctrl,0.35966194887624
g0228,g0780,0.0
g0495,ctrl,0.67635659400408
g0422,g0751,0.0120244624429918
g0681,g0301,0.0081554032213938
g0037,ctrl,0.0
g0915,ctrl,0.512226880585989
g0160,ctrl,0.818803143742834
g0805,g0780,0.505426074198768
g0957,ctrl,0.728806101014004
g0924,g0034,1.26744621657296
g0534,ctrl,0.572599791252231
g0844,g0957,0.649039524242084
g0301,g0139,0.521138063775401
g0691,g0404,0.0193246860533863
g0612,ctrl,0.0
g0780,ctrl,0.539113078970631
g0076,ctrl,0.65701032599655
g0228,ctrl,0.505019982860973
g0345,g0552,0.630572287079802
g0880,g0957,0.779518194487203
g0013,g0495,0.0
g0873,ctrl,0.0256477624804952
g0491,ctrl,0.861248393329267
g0371,ctrl,0.0088719967261755
g0261,g0760,1.26110295489626
g0216,ctrl,0.845703695467715
g0013,g0139,0.0
g0979,ctrl,0.0145456376192799
g0868,ctrl,0.633012000212279
g0698,g0207,0.858687184608074
g0160,g0495,0.005096879890898
g0696,ctrl,0.458435078855977
g0301,g0744,0.867161995585917
g0773,g0379,0.53845448274766
g0186,ctrl,0.704809922619018
g0698,g0697,0.824367152125028
g0466,ctrl,0.808452189644199
g0257,ctrl,0.0
g0261,g0760,0.0185409013613757
g0083,ctrl,1.35980438938928
g0301,g0751,0.0001936824251009
g0195,ctrl,0.0
g0698,g0697,0.291931675883972
g0186,ctrl,0.481938764491233
g0083,ctrl,0.836767787785261
g0773,g0241,0.0011638774607184
g0400,ctrl,0.0035524785162608
g0844,ctrl,1.24048488221327
g0037,g0186,0.893635546619981
g0534,g0228,0.856550872436766
g0228,ctrl,0.713208457830043
g0760,ctrl,0.0061652754360081
g0880,g0744,0.0078173239009139
g0761,g0707,0.0
g0534,g0228,0.0155047026161275
g0698,g0697,0.0
g0013,g0139,1.35306666792815
g0984,ctrl,0.0128422880077698
g0061,ctrl,0.6130786434306
g0101,ctrl,0.718331097588034
g0681,g0751,0.649858670622379
g0697,g0062,0.848123675027201
g0285,ctrl,0.750768386096142
g0040,ctrl,0.0038871481183499
g0924,g0034,0.0
g0510,ctrl,0.0
g0761,g0157,0.0
g0040,ctrl,0.0
g0034,ctrl,0.0
g0698,g0697,0.412312506157545
g0965,g0655,0.0
g0371,ctrl,0.550338223581573
g0698,g0207,0.40333127671405
g0787,g0965,0.0041950345321214
g0101,ctrl,0.0039884788087812
g0671,ctrl,0.826814130905331
g0417,ctrl,0.59924439333377
g0186,g0868,0.936080830130422
g0261,g0760,0.0180175740632928
g0458,ctrl,0.75377666224832
g0400,ctrl,0.387171872864715
g0016,ctrl,0.753614784831654
g0922,ctrl,0.991469446986621
g0780,ctrl,0.0
g0534,ctrl,0.399802622990914
g0136,ctrl,0.884822239681686
g0698,ctrl,0.980129471878603
g0707,g0157,0.674681695288855
g0084,ctrl,0.0028237951268967
g0780,g0744,0.543554839833354
g0200,ctrl,0.708292144703083
g0256,ctrl,0.0
g0784,ctrl,0.815162678153255
g0261,ctrl,0.0006441799686548
g0084,ctrl,0.811307561894839
g0698,g0207,0.930191027087452
g0761,g0707,0.0
g0979,ctrl,0.0
g0109,g0787,0.0101510719639885
g0534,ctrl,0.0028999293646599
g0868,ctrl,0.002430868024111
g0461,ctrl,1.2109560771415
g0216,ctrl,0.0
g0922,ctrl,0.571963025484191
g0826,ctrl,0.888063162519933
g0698,g0697,0.85599940725378
g0160,g0495,0.661526682003121
g0013,ctrl,1.25365930104173
g0087,ctrl,0.0
g0160,g0495,0.38194841577475
g0301,g0139,0.893163593600302
g0534,g0228,0.647415272984593
g0261,g0760,1.16339297733599
g0633,ctrl,0.56760407185648
g0638,ctrl,0.55401226587961
g0761,g0157,1.08197626606227
g0605,ctrl,0.73571192017591
g0787,g0965,0.0
g0974,g0160,0.674739364454903
g0079,ctrl,0.0
g0262,ctrl,0.709224865953971
g0787,g0655,0.0
g0773,g0379,0.491076672469383
g0285,ctrl,0.289190312217041
g0084,ctrl,0.523530427134004
g0400,ctrl,0.0
g0681,g0301,0.896627411092021
g0773,ctrl,0.0
g0915,ctrl,0.0
g0989,ctrl,0.829155073280795
g0880,g0744,0.825474703466091
g0773,g0379,0.0010258870752932
g0013,ctrl,0.494905216135323
g0989,ctrl,1.38832064618994
g0229,ctrl,1.2291924949855
g0707,ctrl,0.562808650783722
g0417,ctrl,0.0012524932721925
g0228,ctrl,1.02174352584813
g0773,g0241,0.0026108631488292
g0257,ctrl,0.0
g0843,ctrl,0.0
g0773,g0261,0.473266919718592
g0898,ctrl,0.481155940453155
g0037,g0186,0.024817201914147
g0101,ctrl,0.78856636713409
g0707,ctrl,0.622861937062481
g0037,g0186,0.0
g0022,ctrl,0.680987681082237
g0697,ctrl,1.13547892780716
g0761,ctrl,0.0046605803358091
g0379,ctrl,0.456795024130381
g0633,ctrl,0.398426214613877
g0989,ctrl,0.431058968199558
g0691,g0404,0.0096070058716702
g0707,ctrl,0.960001283319587
g0974,g0160,0.661029184555577
g0317,g0655,0.896819910485497
g0957,ctrl,0.772608178470405
g0404,ctrl,0.497833832313343
g0805,g0062,0.0
g0256,ctrl,0.0045707091660555
g0422,g0612,0.526038401746888
g0744,ctrl,1.24411322022791
g0638,ctrl,0.767838519046482
g0301,g0744,0.0018328397029034
g0256,ctrl,0.623966057232839
g0974,ctrl,0.0121851486345109
g0013,g0495,0.539136048194958
g0681,ctrl,0.0172063303673152
g0787,g0317,0.509949034129057
g0261,g0160,0.955988249758719
g0461,ctrl,0.0198902840788057
g0262,ctrl,0.0
g0109,g0787,0.0056388211286145
g0241,ctrl,0.0024421977094055
g0787,ctrl,0.599380081254437
g0773,g0261,0.533176619308479
g0873,ctrl,0.599082951433385
g0422,g0612,0.0
g0898,ctrl,1.39635234459843
g0276,ctrl,0.75140628765962
g0761,g0157,0.0065249154190311
g0422,g0612,0.0
g0013,g0139,0.0
g0022,g0784,0.44429642906514
g0016,ctrl,0.0
g0707,g0157,0.592441208384682
g0345,g0552,0.0069767573515706
g0417,ctrl,0.87319218706596
g0304,ctrl,1.15433159420048
g0139,ctrl,0.0011076599486439
g0304,ctrl,0.0
g0013,g0495,0.403173416654364
g0317,ctrl,0.575834666242745
g0691,g0631,0.769737387006203
g0707,ctrl,0.0
g0927,g0805,0.0055299503405114
g0491,ctrl,0.512294752155077
g0301,ctrl,0.562290077384383
g0927,ctrl,0.628031403044036
g0083,g0599,0.374895539718401
g0200,g0605,0.0
g0186,ctrl,1.08847840156722
g0974,g0040,0.001811230965441
g0147,ctrl,0.0
g0761,g0157,0.0
g0379,ctrl,0.0004975641289151
g0898,ctrl,0.895554571579849
g0109,g0787,0.0
g0633,ctrl,0.0
g0691,g0404,0.0184741391967847
g0631,ctrl,0.793066849304633
g0040,ctrl,0.556205937255059
