p1,p2,exp
g0495,ctrl,0.0
g0261,g0760,0.0
g0232,ctrl,0.0045527125179615
g0083,g0599,0.0
g0461,ctrl,0.0053558219923289
g0160,g0495,0.005008581964469
g0276,ctrl,0.502146713957667
g0147,g0241,0.0
g0200,g0605,0.0039187255529672
g0761,g0157,0.0
g0013,g0495,0.0197471891593105
g0101,ctrl,0.0059573110251275
g0422,g0013,0.0046068632391557
g0927,g0805,0.69123504024191
g0873,ctrl,0.0108782954317931
g0157,ctrl,0.00528520684667
g0083,ctrl,0.0168973869385746
g0200,ctrl,0.0
g0564,ctrl,0.0
g0400,ctrl,0.0141792665727565
g0698,g0207,0.0054547309179249
g0744,ctrl,0.0
g0232,ctrl,0.0040204211434769
g0924,g0034,0.0004751860068974
g0707,g0157,0.0
g0262,ctrl,0.007256497968446
g0534,ctrl,0.0162846665300876
g0638,ctrl,0.0062482989986444
g0491,ctrl,0.0
g0261,g0013,0.0089712467712478
g0844,g0957,0.0
g0965,g0655,0.0
g0974,g0160,0.0020629650177311
g0852,ctrl,0.0
g0852,ctrl,0.0
g0256,ctrl,0.0204505340099336
g0787,g0317,0.0
g0534,g0612,0.0
g0022,ctrl,0.0
g0160,g0495,0.553096613679181
g0013,ctrl,0.0
g0534,g0612,0.0114293769481317
g0109,ctrl,0.0
g0379,ctrl,0.0262013205485474
g0301,g0139,0.0001798894766044
g0301,g0612,0.47877379214018
g0301,ctrl,0.0062045088094257
g0844,ctrl,0.0
g0301,ctrl,0.0
g0422,g0139,0.0101023183978886
g0013,ctrl,0.0094780393697945
g0186,g0228,0.0
g0422,g0612,0.0
g0510,ctrl,0.0
g0195,ctrl,0.0
g0927,g0805,0.0
g0109,g0787,0.0
g0852,ctrl,0.0
g0147,ctrl,0.0125735896479009
g0698,g0697,0.0031016267766196
g0787,g0655,0.0
g0301,g0751,0.0
g0200,g0605,0.0
g0612,ctrl,0.368941908712872
g0317,g0655,0.611089163112525
g0186,g0868,0.0017969618612275
g0698,g0062,0.0
g0844,ctrl,0.0
g0671,ctrl,0.0012959760238135
g0083,g0633,0.0
g0787,g0655,0.0
g0256,ctrl,0.518429408689786
g0698,g0207,0.0021828443540378
g0927,g0495,1.22888176530198
g0301,g0139,0.0216287251289
g0564,ctrl,0.0
g0200,ctrl,0.0
g0301,g0751,0.39621962215953
g0698,g0207,0.824113459472174
g0186,g0868,0.0
g0417,ctrl,0.0215689077840471
g0965,g0655,0.0046479630455094
g0534,g0612,0.0
g0285,ctrl,0.0
g0109,ctrl,0.0031399841218111
g0262,ctrl,0.0
g0805,g0780,0.0029575578269664
g0085,ctrl,0.0
g0232,ctrl,0.0119539525316842
g0147,ctrl,0.0136139152513539
g0241,ctrl,0.450930698982953
g0147,g0241,0.0103721404564607
g0698,g0207,0.0
g0200,ctrl,0.0027034903144687
g0083,g0633,0.0091640205109136
g0262,ctrl,0.0
g0698,g0207,0.0
g0681,ctrl,0.0
g0256,ctrl,0.0071804828333553
g0371,ctrl,0.0
g0784,ctrl,0.0
g0691,g0631,0.0098224551496105
g0787,ctrl,0.0
g0805,g0013,0.0
g0034,ctrl,0.0118440888943726
g0379,ctrl,0.0
g0285,ctrl,0.422496737080974
g0261,g0160,0.0
g0922,g0061,0.453039314591974
g0195,ctrl,0.0
g0564,ctrl,0.0
g0520,g0257,0.0
g0696,ctrl,0.0015373138369926
g0422,ctrl,0.0
g0927,g0805,1.12816549568792
g0022,g0228,0.0
g0552,ctrl,0.0066295832886861
g0417,ctrl,0.0
g0261,ctrl,0.0
g0564,ctrl,0.0053506062333811
g0773,g0379,0.0063109108433629
g0761,g0707,0.0
g0160,g0241,0.0
g0109,ctrl,0.0
g0379,ctrl,0.0
g0186,g0216,0.0044332901166228
g0301,g0744,0.0
g0761,g0157,0.0
g0884,ctrl,0.0
g0744,ctrl,0.436979711744424
g0612,ctrl,0.0013964283018881
g0261,ctrl,0.846055391742412
g0638,ctrl,0.0291147806834513
g0880,ctrl,0.0
g0681,g0751,0.0
g0147,g0160,0.0063473643218668
g0844,g0957,0.0
g0927,g0780,1.18107568320223
g0751,ctrl,0.0
g0957,ctrl,0.424806593068279
g0510,ctrl,0.0
g0276,ctrl,0.0
g0965,ctrl,0.0
g0761,g0157,0.0
g0417,ctrl,0.0
g0835,ctrl,0.363191687114036
g0422,g0139,0.0
g0927,g0852,1.75626604078576
g0696,ctrl,0.002150589929582
g0345,ctrl,0.0
g0520,g0257,0.000950670502256
g0200,ctrl,0.0058162138387295
g0927,ctrl,1.94792589241189
g0852,g0422,0.0044244922997524
g0927,g0805,1.4841326847713
g0345,g0552,0.0
g0022,g0228,0.0
