p1,p2,exp
g0495,ctrl,0.0
g0261,g0760,0.0
g0232,ctrl,0.0036157939279323
g0083,g0599,0.011158336328432
g0461,ctrl,0.466058230491958
g0160,g0495,0.607514409843403
g0276,ctrl,0.485705195996089
g0147,g0241,1.18716271977902
g0200,g0605,0.001531184776261
g0761,g0157,0.0
g0013,g0495,0.0304172538147109
g0101,ctrl,1.08404193265942
g0422,g0013,0.509524967079729
g0927,g0805,0.0106329087251462
g0873,ctrl,0.0
g0157,ctrl,0.0
g0083,ctrl,0.0086072894527059
g0200,ctrl,0.0
g0564,ctrl,0.0
g0400,ctrl,0.0100370575595377
g0698,g0207,0.0
g0744,ctrl,0.382236551099219
g0232,ctrl,0.0003368577327675
g0924,g0034,0.770115361583758
g0707,g0157,0.380750165224841
g0262,ctrl,0.0
g0534,ctrl,0.0064977103848414
g0638,ctrl,0.0
g0491,ctrl,0.581094937947996
g0261,g0013,0.0
g0844,g0957,0.815416520440224
g0965,g0655,0.0063484524658531
g0974,g0160,0.340599808776667
g0852,ctrl,0.568634561790354
g0852,ctrl,0.420046766847222
g0256,ctrl,0.859067771396592
g0787,g0317,0.486181178019314
g0534,g0612,0.0072440741669352
g0022,ctrl,0.0
g0160,g0495,0.0122973145758139
g0013,ctrl,0.0
g0534,g0612,1.00070864088042
g0109,ctrl,0.680790789640974
g0379,ctrl,0.0
g0301,g0139,0.0049203586162373
g0301,g0612,0.0
g0301,ctrl,0.575765337444801
g0844,ctrl,0.0
g0301,ctrl,0.0009372025405249
g0422,g0139,0.575288855475196
g0013,ctrl,0.0
g0186,g0228,0.651197480020241
g0422,g0612,0.0
g0510,ctrl,0.0
g0195,ctrl,0.0005067836609347
g0927,g0805,0.0
g0109,g0787,0.935938351237653
g0852,ctrl,0.0
g0147,ctrl,0.0159695689564499
g0698,g0697,0.0
g0787,g0655,0.0
g0301,g0751,0.0072654885376296
g0200,g0605,0.992374297721074
g0612,ctrl,0.36330147290557
g0317,g0655,0.0
g0186,g0868,0.0
g0698,g0062,0.0
g0844,ctrl,0.0
g0671,ctrl,0.566730475507857
g0083,g0633,0.577658778143336
g0787,g0655,0.0026650165394815
g0256,ctrl,0.495553657661889
g0698,g0207,0.71557425924877
g0927,g0495,0.0
g0301,g0139,0.0
g0564,ctrl,0.711235986677558
g0200,ctrl,0.660874783130142
g0301,g0751,0.0145113756071471
g0698,g0207,0.504216559808031
g0186,g0868,1.21862834912842
g0417,ctrl,0.0173339288636512
g0965,g0655,0.566267293158752
g0534,g0612,0.0
g0285,ctrl,0.352171910125844
g0109,ctrl,0.0
g0262,ctrl,0.0010984926107105
g0805,g0780,0.504732110045609
g0085,ctrl,0.0013340616217786
g0232,ctrl,0.0067442056650584
g0147,ctrl,0.0113816894031256
g0241,ctrl,0.456022829488946
g0147,g0241,0.828098826321992
g0698,g0207,0.482079868676605
g0200,ctrl,0.0253400906048647
g0083,g0633,1.63195440596786
g0262,ctrl,0.0
g0698,g0207,0.0
g0681,ctrl,0.531560154940021
g0256,ctrl,0.0132947332351016
g0371,ctrl,0.0093413819585411
g0784,ctrl,0.575562029790033
g0691,g0631,0.842102302049071
g0787,ctrl,0.0
g0805,g0013,0.0124216024721476
g0034,ctrl,0.514369713970647
g0379,ctrl,0.0
g0285,ctrl,1.13591677313852
g0261,g0160,0.0
g0922,g0061,0.459028962018132
g0195,ctrl,0.0
g0564,ctrl,0.0
g0520,g0257,0.78689093968946
g0696,ctrl,0.0
g0422,ctrl,0.0043645709954267
g0927,g0805,0.517109666390923
g0022,g0228,0.544342093953485
g0552,ctrl,0.0
g0417,ctrl,0.0075346514063353
g0261,ctrl,0.531376380977441
g0564,ctrl,0.689780379227066
g0773,g0379,0.0
g0761,g0707,0.0
g0160,g0241,1.22763513547361
g0109,ctrl,0.0
g0379,ctrl,0.0
g0186,g0216,0.0155826200092341
g0301,g0744,0.0254087210794111
g0761,g0157,0.573228478555785
g0884,ctrl,0.53559725640101
g0744,ctrl,0.0
g0612,ctrl,0.0
g0261,ctrl,0.008442356707041
g0638,ctrl,0.0159008572354449
g0880,ctrl,0.950701579591398
g0681,g0751,0.0085429350511029
g0147,g0160,0.0135288750339727
g0844,g0957,0.0
g0927,g0780,0.562549316348662
g0751,ctrl,0.01961807431489
g0957,ctrl,0.0
g0510,ctrl,0.621282060030812
g0276,ctrl,0.554653336785653
g0965,ctrl,0.0
g0761,g0157,0.0037214644764896
g0417,ctrl,0.0
g0835,ctrl,0.0
g0422,g0139,0.437928654643269
g0927,g0852,0.0064258990744374
g0696,ctrl,0.557340122375827
g0345,ctrl,0.0017347761314777
g0520,g0257,0.0
