p1,p2,exp
g0495,ctrl,4.40270108831273
g0261,g0760,4.54719948938839
g0232,ctrl,4.83249804301593
g0083,g0599,4.74471765249816
g0461,ctrl,4.47930037163048
g0160,g0495,4.82650337330669
g0276,ctrl,4.22950742269497
g0147,g0241,4.97188007088311
g0200,g0605,4.8387507708833
g0761,g0157,4.63136857434848
g0013,g0495,4.61093055237659
g0101,ctrl,4.49061758410791
g0422,g0013,5.09833854884794
g0927,g0805,4.68232747858764
g0873,ctrl,4.77036900579256
g0157,ctrl,4.70563908231864
g0083,ctrl,4.46726763799518
g0200,ctrl,4.81710590195834
g0564,ctrl,4.15119347791239
g0400,ctrl,4.82252430147259
g0698,g0207,4.12574687904629
g0744,ctrl,4.51507447934039
g0232,ctrl,4.63431684796992
g0924,g0034,4.74430235543132
g0707,g0157,4.77530916592789
g0262,ctrl,4.56951884024876
g0534,ctrl,4.76464510019314
g0638,ctrl,4.05494072955683
g0491,ctrl,4.4777336614853
g0261,g0013,4.81271538107133
g0844,g0957,4.45194704266115
g0965,g0655,4.55741205495073
g0974,g0160,4.08917733605464
g0852,ctrl,4.22094589117254
g0852,ctrl,4.51524364869359
g0256,ctrl,4.84399899422423
g0787,g0317,4.55401092582651
g0534,g0612,4.89607141712402
g0022,ctrl,4.69789467499722
g0160,g0495,4.75012398562091
g0013,ctrl,4.60203794187187
g0534,g0612,4.70306309019926
g0109,ctrl,4.55653681552399
g0379,ctrl,3.94986214216979
g0301,g0139,4.66252553041394
g0301,g0612,4.95532764214787
g0301,ctrl,4.76114856352497
g0844,ctrl,4.59335971452252
g0301,ctrl,4.24538442553758
g0422,g0139,4.75289381751108
g0013,ctrl,4.65291596013501
g0186,g0228,4.52804783851598
g0422,g0612,4.75468964578249
g0510,ctrl,5.1915844916622
g0195,ctrl,4.42784994920488
g0927,g0805,4.29426114751038
g0109,g0787,4.95087900219286
g0852,ctrl,5.24571622017544
g0147,ctrl,3.67688743082765
g0698,g0697,4.50707255387463
g0787,g0655,4.44271248842082
g0301,g0751,4.56946221739531
g0200,g0605,4.73419483212047
g0612,ctrl,4.30771586369552
g0317,g0655,4.68181070174934
g0186,g0868,5.15392588387707
g0698,g0062,4.53042268915247
g0844,ctrl,4.38327043976318
g0671,ctrl,4.5767880239572
g0083,g0633,4.39480290586522
g0787,g0655,4.43490783547975
g0256,ctrl,4.51653147020111
