p1,p2,exp
g0495,ctrl,0.001708997086454
g0261,g0760,1.06408260258194
g0232,ctrl,0.0
g0083,g0599,0.0026004749089434
g0461,ctrl,0.439175338495066
g0160,g0495,1.7884611739162
g0276,ctrl,0.496165889241478
g0147,g0241,1.18695325296808
g0200,g0605,0.0
g0761,g0157,1.25673376842097
g0013,g0495,0.0
g0101,ctrl,0.0
g0422,g0013,0.494856659174052
g0927,g0805,0.0
g0873,ctrl,0.708653239435584
g0157,ctrl,0.0120111954040177
g0083,ctrl,1.39787006537851
g0200,ctrl,0.0
g0564,ctrl,0.0
g0400,ctrl,0.549899226270833
g0698,g0207,0.0
g0744,ctrl,0.389722736698084
g0232,ctrl,0.594873834473621
g0924,g0034,0.0
g0707,g0157,0.640191867453938
g0262,ctrl,1.88691459451208
g0534,ctrl,0.614293913210909
g0638,ctrl,0.669878267959368
g0491,ctrl,0.0
g0261,g0013,1.17371184830567
g0844,g0957,1.56964574540118
g0965,g0655,1.02198684166108
g0974,g0160,0.837396170060113
g0852,ctrl,0.923185030494535
g0852,ctrl,0.0
g0256,ctrl,0.0
g0787,g0317,1.04075869390279
g0534,g0612,1.50746371521443
g0022,ctrl,1.14092847797671
g0160,g0495,1.18353572568191
g0013,ctrl,0.0097345706570607
g0534,g0612,0.0122529409795052
g0109,ctrl,0.677890173845599
g0379,ctrl,0.937928397295353
g0301,g0139,0.019073931638004
g0301,g0612,1.21310332132734
g0301,ctrl,0.0
g0844,ctrl,0.932490263386147
g0301,ctrl,0.709958558464053
g0422,g0139,1.595515361649
g0013,ctrl,0.0015481570100297
g0186,g0228,0.642406601919989
g0422,g0612,0.0
g0510,ctrl,0.832001167699551
g0195,ctrl,0.428817750966781
g0927,g0805,0.541999754979494
g0109,g0787,0.961471234842148
g0852,ctrl,0.014015397121248
g0147,ctrl,0.0
g0698,g0697,1.48087708848925
g0787,g0655,0.0
g0301,g0751,0.89491432057807
g0200,g0605,0.0035492486470883
g0612,ctrl,0.842904562617043
g0317,g0655,0.0
g0186,g0868,0.0
g0698,g0062,0.871959699759327
g0844,ctrl,0.498322255775504
g0671,ctrl,0.0201202298907497
g0083,g0633,0.561898266102092
g0787,g0655,0.549324297771441
g0256,ctrl,0.0040333325583518
g0698,g0207,0.0
g0927,g0495,0.970456622103782
g0301,g0139,0.0
g0564,ctrl,0.711582678620711
g0200,ctrl,0.6530366296197
g0301,g0751,1.36942801443028
g0698,g0207,0.50553822678059
g0186,g0868,0.0
g0417,ctrl,0.007313908496411
g0965,g0655,0.0
